commit,validation_status,validation_reason,build_after,test_after,build_before,test_before,error_type,regressions,fixes,new_passes
41b311170ee892d8c9121399df72ee24e8e42f26,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,9
d49517b6741b61096df31ba3fa4e2fe38b593bc6,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
fc1182b3c58c2a91ed3e14db68e24032b31fd55b,VALID_BACKPORT,build_fixed,Success,Fail,Fail,Skipped,,0,0,59
c38d43805fc4d8ea0e7bd80d67e7d64e3cd77206,VALID_BACKPORT,,Success,Crash/No Report,Success,Crash/No Report,,0,0,0
5de3d0804a0672bb9ed7dff3e01aa167105c3d96,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,9
af83c2e8905ed3a4643999fe1596187a4a7a5092,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,8
57dc275469354f104a995b2a83ec916d7b9114dc,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,4
e73e6b04f9e565cb1f1016a7b599d896426941a1,VALID_BACKPORT,build_fixed,Success,Fail,Fail,Skipped,,0,0,18
54a08adef1bf985ebcaac10d6241192999904122,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,26
00dbf119161855256b860a89aa05f353e41eb1b8,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,15
b02de7e3871aa14e9c1db9a4568de7b61c329c7b,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,74
132350bc09fb0164122f6c62b90978c6a8187001,VALID_BACKPORT,,Fail,Skipped,Skipped,Skipped (Build Failed),,0,0,0
30d72ed26fbf5e66561fccf51aa4835844abc4c2,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
ba578203560e42ead61a6deba84bb9ca78268d60,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
88f07a84fc4b8519fcf8a1ed8da4dca30fc51c46,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,15
ddd0ffa8a14d27839a2497d6595c46c84cf70099,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,8
dd5f141df01149645cf939e5a0bffc03a1c09afd,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
9e8bc7ee931f15bba6afb7864469add893b856e4,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,2,0
afc5307d2c49f0fb3f9804f23dc4fe1b658ce3c7,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,10
2be3b3005a41ee812fced0e6e44a92bdeeef1d80,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,69
b590298660d3f5c080f31262147810dc8b85f201,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,13
6ecfcde0b4880879436571b639dcce09f8ba68c6,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,102
dc3aaf1dc10d0c22ae867f118a51209555908055,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,8
e0161feb112a7c525989f18db95a384c967f3376,VALID_BACKPORT,,Success,Fail,Success,Fail,,0,0,0
1e84e0d06eb891af5602007453d61cf55744afe3,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
7325c6c1dae40e20f63bf2f7a05bfed3e241435c,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
19c9dfeb054fd656eee272c916cd754067ee16e3,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,5
898c78ee5d2ec7422c3bbe0d6ebd34141f5349c7,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,12
b74832610d396d75059148a70f26d0a1188b1418,VALID_BACKPORT,,Success,Success,Success,Crash/No Report,,0,0,5
b38748edc79f884d8033c2598f715a33477d8a4d,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,26
1f572ad4d393cb5dae04467c33f293553ae1dacd,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,2,0
02835dcf28860d8f3dc2419029f85b203cc0a5bf,VALID_BACKPORT,,Success,Success,Success,Fail,,0,0,0
1a110a587dff38291e2748f3e8385673dffeb67b,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
d4ec6295453e8678f38bcea0155882755595fcae,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,4
1c5c3b0a19bf370e06a2d2a13c92fa76203fbaaa,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,1,0
27d4bfec9d3c210987b4660a87c122b2885491b7,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
9b36a4357eecf079bcde4c7a4aa505ac5b9397c0,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,54
d98a29ffcc96113a1bfb5495c46e27b003a10813,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,15
a3e65e772ff8618961bfc3f6a1c15459f23dab6a,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,47
a9dac434534d305e127a20779af6d27c4e254385,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,20
4eabb4c5afcedf30fc1b39770512dc3d5c43a255,VALID_BACKPORT,reused_build_and_tests_passed,Success,Success,Skipped,Skipped (Only New Tests),,0,0,7
b78cfd8ef7ccc8d79bbdb456b22f867b3e116d4b,VALID_BACKPORT,tests_fixed,Success,Success,Success,Fail,,0,3,0
e622195a02c33a7e65ec131c3075dd7974c082ea,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,16
12f43573a11e3eeb0b4ffb9ea80051768d6f45b4,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,33
94de73a08d82dd83092254241d3da0c67956e682,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,8
